coherence,hazard_rate,coherence_state,hazard_rate_state
0.8,2.85,random,difficult
0.35,3.08,random,difficult
0.3,2.98,random,difficult
0.71,3.01,random,difficult
0.38,2.86,random,difficult
0.33,3.13,random,difficult
0.2,3.11,random,difficult
0.3,3.14,random,difficult
0.56,3.38,random,difficult
0.22,2.99,random,difficult
0.21,3.2,random,difficult
0.48,2.98,random,difficult
0.35,3.06,random,difficult
0.25,3.06,random,difficult
0.5,3.04,random,difficult
0.28,3.11,random,difficult
0.37,2.95,random,difficult
0.63,3.01,random,difficult
0.33,3.09,random,difficult
0.46,3.3,random,difficult
0.73,2.87,random,difficult
0.58,2.72,random,difficult
0.77,2.92,random,difficult
0.5,3.01,random,difficult
0.55,3.03,random,difficult
